# Matter power spectrum P(k) at redshift z=0
# for k=1.04978e-05 to 67.0701 h/Mpc,
# number of wavenumbers equal to 621
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       6.629228620191e-01       1.710024327798e+02 
       6.661525737679e-01       1.691834699777e+02 
       6.693822855879e-01       1.673899007953e+02 
       6.726119974780e-01       1.656231052607e+02 
       6.758417094373e-01       1.638824732539e+02 
       6.790714214648e-01       1.621674271733e+02 
       6.823011335594e-01       1.604771050405e+02 
       6.855308457203e-01       1.588100548553e+02 
       6.887605579465e-01       1.571666794349e+02 
       6.919902702371e-01       1.555468790401e+02 
       6.952199825911e-01       1.539509212610e+02 
       6.984496950078e-01       1.523792056875e+02 
       7.016794074862e-01       1.508316598884e+02 
       7.049091200255e-01       1.493068044195e+02 
       7.081388326249e-01       1.478038627293e+02 
       7.113685452835e-01       1.463216680209e+02 
       7.145982580005e-01       1.448594594048e+02 
       7.178279707752e-01       1.434174351730e+02 
       7.210576836067e-01       1.419956108689e+02 
       7.242873964944e-01       1.405941677984e+02 
       7.275171094373e-01       1.392119407727e+02 
       7.307468224349e-01       1.378491389211e+02 
       7.339765354864e-01       1.365042351658e+02 
       7.372062485911e-01       1.351766154015e+02 
       7.404359617483e-01       1.338658748811e+02 
       7.436656749573e-01       1.325725161697e+02 
       7.468953882174e-01       1.312966302138e+02 
       7.501251015279e-01       1.300384410504e+02 
       7.533548148883e-01       1.287975781633e+02 
       7.565845282979e-01       1.275739686850e+02 
       8.263350058315e-01       1.046699699660e+02 
       9.270449089443e-01       8.063778725050e+01 
       1.086867283005e+00       5.594531227489e+01 
       1.340142445475e+00       3.428966395483e+01 
       1.684759276207e+00       1.989689934910e+01 
       2.120944234562e+00       1.140344475854e+01 
       2.670110450149e+00       6.481929946230e+00 
       3.361469897921e+00       3.657223713646e+00 
       4.231839875474e+00       2.049578980147e+00 
       5.327570757878e+00       1.141587242510e+00 
       6.707014210224e+00       6.322858156303e-01 
       7.427213309566e+00       4.858699231727e-01 
