# Matter power spectrum P(k) at redshift z=0
# for k=1.04829e-05 to 66.9325 h/Mpc,
# number of wavenumbers equal to 621
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       4.005833787743e-01       4.994265453309e+02 
       4.038085049688e-01       4.910330022398e+02 
       4.070336314835e-01       4.827333843852e+02 
       4.102587583108e-01       4.745675849326e+02 
       4.134838854434e-01       4.665748183738e+02 
       4.167090128741e-01       4.587883152049e+02 
       4.199341405961e-01       4.512309724646e+02 
       4.231592686027e-01       4.439162747111e+02 
       4.263843968874e-01       4.368421967738e+02 
       4.296095254439e-01       4.300081938836e+02 
       4.328346542662e-01       4.234040905401e+02 
       4.360597833482e-01       4.170144793075e+02 
       4.392849126842e-01       4.108237694604e+02 
       4.425100422688e-01       4.048106234753e+02 
       4.457351720964e-01       3.989509920528e+02 
       4.489603021618e-01       3.932186190075e+02 
       4.521854324599e-01       3.875868173959e+02 
       4.554105629858e-01       3.820354028954e+02 
       4.586356937346e-01       3.765523478451e+02 
       4.618608247016e-01       3.711287096230e+02 
       4.650859558823e-01       3.657643149251e+02 
       4.683110872722e-01       3.604641749617e+02 
       4.715362188671e-01       3.552334969183e+02 
       4.747613506627e-01       3.500758900306e+02 
       4.779864826550e-01       3.450003609609e+02 
       4.812116148400e-01       3.400168221023e+02 
       4.844367472138e-01       3.351336533399e+02 
       4.876618797727e-01       3.303621632777e+02 
       4.908870125131e-01       3.257092048945e+02 
       4.941121454313e-01       3.211799074583e+02 
       4.973372785239e-01       3.167725169962e+02 
       5.005624117875e-01       3.124799749060e+02 
       5.037875452188e-01       3.082938066334e+02 
       5.070126788146e-01       3.042024455528e+02 
       5.102378125718e-01       3.001957374287e+02 
       5.134629464873e-01       2.962687500001e+02 
       5.166880805581e-01       2.924131671028e+02 
       5.199132147814e-01       2.886204109928e+02 
       5.231383491543e-01       2.848865298617e+02 
       5.263634836741e-01       2.812058007975e+02 
       5.295886183380e-01       2.775724617008e+02 
       5.328137531435e-01       2.739867489881e+02 
       5.360388880880e-01       2.704509945230e+02 
       5.392640231690e-01       2.669672700922e+02 
       5.424891583839e-01       2.635412012412e+02 
       5.457142937306e-01       2.601756683909e+02 
       5.489394292066e-01       2.568719113594e+02 
       5.521645648096e-01       2.536304611999e+02 
       5.553897005375e-01       2.504504409160e+02 
       5.586148363880e-01       2.473303943952e+02 
       5.618399723591e-01       2.442709064182e+02 
       5.650651084486e-01       2.412715456982e+02 
       5.682902446546e-01       2.383315064717e+02 
       5.715153809751e-01       2.354499009396e+02 
       5.747405174082e-01       2.326216730795e+02 
       5.779656539519e-01       2.298442882840e+02 
       5.811907906044e-01       2.271137691562e+02 
       5.844159273639e-01       2.244255902579e+02 
       5.876410642286e-01       2.217791422657e+02 
       5.908662011969e-01       2.191727647005e+02 
       5.940913382669e-01       2.166076476830e+02 
       5.973164754372e-01       2.140814110849e+02 
       6.005416127060e-01       2.115931844980e+02 
       6.037667500717e-01       2.091414520841e+02 
       6.069918875329e-01       2.067246728662e+02 
       6.102170250879e-01       2.043429775472e+02 
       6.134421627354e-01       2.019972443389e+02 
       6.166673004738e-01       1.996877535750e+02 
       6.198924383018e-01       1.974177559489e+02 
       6.231175762179e-01       1.951868817495e+02 
       6.263427142207e-01       1.929939254117e+02 
       6.295678523091e-01       1.908385479802e+02 
       6.327929904815e-01       1.887173041286e+02 
       6.360181287368e-01       1.866301370389e+02 
       6.392432670737e-01       1.845759080463e+02 
       6.424684054909e-01       1.825550852003e+02 
       6.456935439873e-01       1.805663246456e+02 
       6.489186825616e-01       1.786099807573e+02 
       6.521438212128e-01       1.766834642242e+02 
       6.553689599396e-01       1.747851356370e+02 
       6.585940987410e-01       1.729129422730e+02 
       6.618192376159e-01       1.710670785252e+02 
       6.650443765631e-01       1.692463216187e+02 
       6.682695155817e-01       1.674518172327e+02 
       6.714946546706e-01       1.656836322775e+02 
       6.747197938288e-01       1.639418962616e+02 
       6.779449330553e-01       1.622255578644e+02 
       6.811700723491e-01       1.605336926502e+02 
       6.843952117094e-01       1.588655654768e+02 
       6.876203511350e-01       1.572211981188e+02 
       6.908454906252e-01       1.556000514650e+02 
       6.940706301790e-01       1.540029574020e+02 
       6.972957697956e-01       1.524300629531e+02 
       7.005209094740e-01       1.508813012012e+02 
       7.037460492135e-01       1.493553980355e+02 
       7.069711890131e-01       1.478514241150e+02 
       7.101963288721e-01       1.463681381130e+02 
       7.134214687897e-01       1.449052137160e+02 
       7.166466087650e-01       1.434623018930e+02 
       7.198717487973e-01       1.420394330696e+02 
       7.230968888858e-01       1.406368499956e+02 
       7.263220290298e-01       1.392538280967e+02 
       7.295471692285e-01       1.378901461136e+02 
       7.327723094813e-01       1.365444235383e+02 
       7.359974497873e-01       1.352159477459e+02 
       7.392225901459e-01       1.339044477557e+02 
       7.424477305565e-01       1.326102535200e+02 
       7.456728710182e-01       1.313335459634e+02 
       7.488980115306e-01       1.300745371679e+02 
       7.521231520928e-01       1.288331454484e+02 
       7.553482927044e-01       1.276084818299e+02 
       8.249383529622e-01       1.047090263554e+02 
       9.253894405947e-01       8.068326789006e+01 
       1.084768297024e+00       5.599390342794e+01 
       1.337410292515e+00       3.432703116440e+01 
       1.681301408394e+00       1.991867612215e+01 
       2.116590533360e+00       1.141565512777e+01 
       2.664629462623e+00       6.488716581172e+00 
       3.354569743442e+00       3.660979476197e+00 
       4.223153095655e+00       2.051646437590e+00 
